source_file,time,latitude,longitude,RH_700,t700,t_C_700,u700,v700,z700,t2m,d2m,,d_C_sfc,,VP,SVP,,u10,v10,,HDW_sfc,,datetime,normalized_time,,X,,,,t_C_sfc,RH_sfc,VPD_sfc,wind_speed_sfc,wind_speed700
WForkCplx_20130606.csv,0:00:00,37.5,-107,42.82859802,284.1328125,10.9828125,1.807434082,1.417526245,30548.97266,287.572998,275.7233887,,2.573388672,,0.735103518,1.642964915,,2.016784668,1.999267578,,2.578149144,,2013-09-22 00:00:00+00:00,0:00:00,,,,,,14.42299805,44.81250371,0.907861397,2.83980479,2.29699774
WForkCplx_20130606.csv,0:00:00,37.5,-107,100.1236267,278.9873657,5.837365723,1.307800293,1.937927246,29638.07813,277.1179199,276.0664673,,2.916467285,,0.753261043,0.811400066,,0.866958618,2.597076416,,0.159182301,,2013-09-23 00:00:00+00:00,0:00:00,,,,,,3.967919922,92.85456691,0.058139023,2.73795967,2.337927205
WForkCplx_20130606.csv,0:00:00,37.5,-107,33.30206299,281.029541,7.879541016,1.441040039,-0.452133179,30511.02734,284.8585205,268.619873,,-4.530126953,,0.436431346,1.37578799,,1.124465942,-1.014953613,,1.422917431,,2013-09-24 00:00:00+00:00,0:00:00,,,,,,11.70852051,31.82799481,0.939356644,1.514778694,1.510304872
WForkCplx_20130606.csv,0:00:00,37.5,-107,36.23335266,283.0297546,9.879754639,1.514541626,1.994979858,30727.74609,286.5375366,268.8043213,,-4.345678711,,0.442557862,1.53611452,,1.218597412,2.206756592,,2.756707395,,2013-09-25 00:00:00+00:00,0:00:00,,,,,,13.38753662,28.90818922,1.093556658,2.520863802,2.504751679
WForkCplx_20130606.csv,0:00:00,37.5,-107,35.07826233,284.6882019,11.5382019,2.682418823,4.382522583,29862.70313,287.4084473,271.197876,,-1.952124023,,0.52926462,1.625561035,,2.718521118,4.790390015,,6.038413549,,2013-09-26 00:00:00+00:00,0:00:00,,,,,,14.25844727,32.64694246,1.096296415,5.508011761,5.138275482
WForkCplx_20130606.csv,0:00:00,37.5,-107,35.1555481,282.7320862,9.582086182,1.825042725,3.459823608,29928.84375,285.5948486,268.4741211,,-4.675878906,,0.431643439,1.444191998,,2.035461426,3.960128784,,4.508482405,,2013-09-27 00:00:00+00:00,0:00:00,,,,,,12.44484863,29.99115236,1.012548559,4.452608584,3.911669765
WForkCplx_20130606.csv,0:00:00,37.5,-107,73.36035156,271.9644165,-1.185583496,3.105117798,2.411636353,30030.75,273.5925293,269.5175171,,-3.63248291,,0.466970324,0.630733148,,2.615600586,3.339309692,,0.69463927,,2013-09-28 00:00:00+00:00,0:00:00,,,,,,0.442529297,74.12227716,0.163762824,4.241739696,3.931634067
WForkCplx_20130606.csv,0:00:00,37.5,-107,46.21470642,278.5653687,5.415368652,1.261703491,1.773345947,30904.22656,281.1921387,270.3400879,,-2.809912109,,0.496602118,1.075816294,,0.664825439,1.593414307,,1.000040073,,2013-09-29 00:00:00+00:00,0:00:00,,,,,,8.042138672,46.2697184,0.579214176,1.726546269,2.176384972
WForkCplx_20130606.csv,0:00:00,37.5,-107,41.47781372,280.9434509,7.793450928,2.252212524,2.01763916,30738.30859,284.3713989,269.9361572,,-3.213842773,,0.481849365,1.332114805,,1.216781616,2.267929077,,2.188349324,,2013-09-30 00:00:00+00:00,0:00:00,,,,,,11.22139893,36.27514563,0.85026544,2.573724888,3.023793815
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whitney_20200908.csv,0:00:00,47.5,-118.5,27.75773621,268.5805054,-4.569494629,-13.75769043,-13.91539001,30936.64063,293.7651978,268.6663208,,-4.483679199,,0.437967,2.428745965,,-8.41394043,-6.298141479,,20.92317023,,2020-09-08 00:00:00+00:00,0:00:00,,,,,,20.61519775,18.09813209,1.990778964,10.51004185,19.56814057
Whitney_20200908.csv,0:00:00,47.5,-118.5,50.20823669,279.6990967,6.54909668,-6.836837769,-9.289886475,31086.94531,294.5746155,266.9516296,,-6.198370361,,0.384344252,2.55253136,,-0.663970947,-2.801300049,,6.242021795,,2020-09-09 00:00:00+00:00,0:00:00,,,,,,21.42461548,15.12098465,2.168187108,2.878912882,11.53448488
Whitney_20200908.csv,0:00:00,47.5,-118.5,20.53607178,282.4937744,9.343774414,-2.347671509,-1.309387207,31123.90234,300.9987793,275.2903442,,2.140344238,,0.712736952,3.746652866,,-2.51953125,-0.85017395,,8.067497591,,2020-09-10 00:00:00+00:00,0:00:00,,,,,,27.8487793,19.05041245,3.033915914,2.659103884,2.688132506
Whitney_20200908.csv,0:00:00,47.5,-118.5,13.45526409,283.7901001,10.6401001,3.629562378,-1.886932373,31089.3125,303.5601807,273.258728,,0.108728027,,0.615629987,4.343776582,,1.213531494,0.417800903,,4.784849631,,2020-09-11 00:00:00+00:00,0:00:00,,,,,,30.41018066,14.1964089,3.728146595,1.28343924,4.090750156
Whitney_20200908.csv,0:00:00,47.5,-118.5,12.38107491,284.3916321,11.24163208,2.192565918,-4.230041504,30953.23438,302.7849121,274.0932007,,0.943200684,,0.654000724,4.154881433,,2.050231934,3.86819458,,15.32665435,,2020-09-12 00:00:00+00:00,0:00:00,,,,,,29.63491211,15.76483316,3.500880709,4.377942472,4.764514291
Whitney_20200908.csv,0:00:00,47.5,-118.5,14.55025387,283.8291626,10.6791626,6.864593506,1.313751221,30764.60938,298.1715088,277.7504883,,4.600488281,,0.84825344,3.171734614,,1.760421753,2.293716431,,6.718123853,,2020-09-13 00:00:00+00:00,0:00:00,,,,,,25.02150879,26.77409411,2.323481174,2.891404471,6.989176366
Whitney_20200908.csv,0:00:00,47.5,-118.5,15.81238556,283.5193481,10.36934814,12.68681335,10.86117554,30706.14063,296.8534851,278.9830627,,5.833062744,,0.924326606,2.931125896,,0.790054321,2.935440063,,6.100469884,,2020-09-14 00:00:00+00:00,0:00:00,,,,,,23.70348511,31.56541896,2.00679929,3.03990036,16.70090917
Whitney_20200908.csv,0:00:00,47.5,-118.5,17.38658142,280.9444275,7.79442749,10.56495667,10.85357666,30746.71875,296.1640015,278.75177,,5.60177002,,0.909609506,2.811725652,,0.06451416,2.723648071,,5.182148105,,2020-09-15 00:00:00+00:00,0:00:00,,,,,,23.01400146,32.38411109,1.902116146,2.724412027,15.14656514
Whitney_20200908.csv,0:00:00,47.5,-118.5,52.06718445,280.6575317,7.507531738,6.385620117,4.379211426,31184.95703,297.9607544,278.3820801,,5.232080078,,0.886514912,3.132141475,,-0.682540894,0.006057739,,1.532792326,,2020-09-16 00:00:00+00:00,0:00:00,,,,,,24.81075439,28.33258206,2.245626562,0.682567775,7.742973395
Whitney_20200908.csv,0:00:00,47.5,-118.5,14.1449995,282.4336548,9.283654785,5.280914307,8.695251465,31092.78516,299.1403503,279.3746338,,6.224633789,,0.949720995,3.359412844,,-2.397369385,1.127319336,,6.383741191,,2020-09-17 00:00:00+00:00,0:00:00,,,,,,25.99035034,28.29242952,2.40969185,2.649194,10.17327155
Whitney_20200908.csv,0:00:00,47.5,-118.5,20.67573547,283.1723328,10.02233276,2.208633423,7.207931519,30860.08984,298.7220459,279.7346802,,6.584680176,,0.973611378,3.277226582,,-1.728866577,0.607162476,,4.221104366,,2020-09-18 00:00:00+00:00,0:00:00,,,,,,25.5720459,29.73058627,2.303615204,1.832382578,7.538722596
Whitney_20200908.csv,0:00:00,47.5,-118.5,51.82414246,277.414093,4.264093018,2.048080444,15.95718384,30233.20313,296.3071289,279.4059143,,6.255914307,,0.951775881,2.836156138,,1.966400146,3.268341064,,7.187566506,,2020-09-19 00:00:00+00:00,0:00:00,,,,,,23.15712891,33.58960384,1.884380257,3.814286676,16.08808098
Whitney_20200908.csv,0:00:00,47.5,-118.5,66.97018433,273.3834839,0.233483887,8.304367065,-0.774169922,30227.74609,295.4084473,280.7128296,,7.56282959,,1.041208965,2.685780137,,5.075942993,2.587097168,,9.369477032,,2020-09-20 00:00:00+00:00,0:00:00,,,,,,22.25844727,38.79672135,1.644571172,5.697215901,8.340374777
Whitney_20200908.csv,0:00:00,47.5,-118.5,74.89360046,272.6983948,-0.451605225,1.974487305,2.73828125,30338.00781,296.0389709,278.31073,,5.16072998,,0.882117666,2.790534678,,1.556762695,3.580490112,,7.45099858,,2020-09-21 00:00:00+00:00,0:00:00,,,,,,22.88897095,31.64640721,1.908417012,3.904282205,3.375912369
Whitney_20200908.csv,0:00:00,47.5,-118.5,15.43790054,276.1087341,2.958734131,8.036071777,4.456268311,30230.81641,297.3540649,276.2397766,,3.089776611,,0.762583112,3.020562682,,0.432815552,0.939117432,,2.334876275,,2020-09-22 00:00:00+00:00,0:00:00,,,,,,24.20406494,25.28328673,2.25797957,1.034055536,9.188948627
Whitney_20200908.csv,0:00:00,47.5,-118.5,45.15068054,274.3286133,1.178613281,4.270828247,5.270294189,30265.40234,297.6532288,276.431427,,3.281427002,,0.773010156,3.075141989,,2.044265747,4.148071289,,10.64608859,,2020-09-23 00:00:00+00:00,0:00:00,,,,,,24.50322876,25.17273403,2.302131833,4.624447844,6.783507556
Whitney_20200908.csv,0:00:00,47.5,-118.5,84.92897034,275.3112183,2.161218262,16.12139893,15.41404724,29972.48438,294.4505005,279.1086426,,5.958642578,,0.932404795,2.533199728,,1.387619019,3.735107422,,6.378422401,,2020-09-24 00:00:00+00:00,0:00:00,,,,,,21.30050049,36.8451935,1.600794933,3.984534351,22.30453666
Whitney_20200908.csv,0:00:00,47.5,-118.5,68.24635315,270.055603,-3.094396973,11.55891418,0.934432983,29939.73047,291.5983887,277.8763428,,4.726342773,,0.855759282,2.122833087,,4.915527344,4.167327881,,8.165406498,,2020-09-25 00:00:00+00:00,0:00:00,,,,,,18.44838867,40.3629271,1.267073805,6.444302191,11.59662288
Whitney_20200908.csv,0:00:00,47.5,-118.5,77.03608704,271.6922607,-1.457739258,20.94572449,6.634719849,29338.95703,291.1263428,282.3627319,,9.212731934,,1.164626065,2.060853567,,6.864257813,6.554138184,,8.505891333,,2020-09-26 00:00:00+00:00,0:00:00,,,,,,17.97634277,56.54426511,0.896227502,9.4907725,21.97141055
Whitney_20200908.csv,0:00:00,47.5,-118.5,78.89784241,268.0494995,-5.100500488,14.1802063,-3.434783936,30113.03906,290.1986694,275.0660706,,1.916070557,,0.701391281,1.943650284,,7.411819458,0.605010986,,9.238023468,,2020-09-27 00:00:00+00:00,0:00:00,,,,,,17.04866943,36.15175899,1.242259003,7.436471339,14.59027043
Whitney_20200908.csv,0:00:00,47.5,-118.5,36.57130432,276.630127,3.480126953,1.115463257,-14.48077393,31274.25,292.0477905,275.7139587,,2.56395874,,0.734609942,2.183349122,,2.903671265,-0.927703857,,4.416146107,,2020-09-28 00:00:00+00:00,0:00:00,,,,,,18.89779053,33.70309323,1.448739181,3.048268568,14.52367281
Whitney_20200908.csv,0:00:00,47.5,-118.5,18.31973267,280.4144287,7.264428711,5.27571106,-4.950393677,31614.15234,295.2946472,275.459259,,2.309259033,,0.721388799,2.667243963,,0.571456909,0.536331177,,1.525001999,,2020-09-29 00:00:00+00:00,0:00:00,,,,,,22.14464722,27.09248937,1.945855164,0.783718145,7.234606053
Whitney_20200908.csv,0:00:00,47.5,-118.5,7.823153496,283.7513428,10.60134277,7.307388306,-2.133148193,31299.26953,299.5118408,276.4111023,,3.261102295,,0.771898426,3.43390145,,-0.324264526,-0.873519897,,2.480359075,,2020-09-30 00:00:00+00:00,0:00:00,,,,,,26.36184082,22.50792321,2.662003024,0.931764184,7.61237447
Whitney_20200908.csv,0:00:00,47.5,-118.5,7.834382057,283.6719055,10.52190552,2.969146729,-3.070587158,31627.17188,299.8196411,278.8386536,,5.688653564,,0.915113482,3.496705439,,0.775726318,-0.672332764,,2.650105262,,2020-10-01 00:00:00+00:00,0:00:00,,,,,,26.66964111,26.19218418,2.581591956,1.026539169,4.27133911
