"stat","VPD_sfc","spd_sfc","spd_700","acres_growth","final_size_fire","fuel_elev_fire","ECTC_fire","EOTC_fire","ES_fire","MEDS_fire","hour_1000","zhvi","sum_6","sum_20","fire_day"
"Median",1.98570770987174,2.39500577606016,6.32781909679906,29,173094,1805,526799,139946,23691,38593,0.08,378916.517341505,6195.50598195034,73431.4469273229,29.5
"90th percentile",4.1247191620496,4.60580843289854,14.4180592434306,9024.2,379895,2548,691895,1157033,339178,197231,0.12,711496.594501899,51862.3031815521,420781.409815527,71
