time,t_C_sfc,RH_sfc,VPD_sfc,wind_speed_sfc,wind_speed700,source_file
2016-07-04T00:00:00Z,18.39693604,32.73255208,1.424680543,4.09864442,7.703385056,beavercrk_20160619.csv
2016-07-05T00:00:00Z,21.09035645,33.2324399,1.67079915,3.489084223,8.359839397,beavercrk_20160619.csv
2016-07-06T00:00:00Z,18.96688232,32.8835109,1.47298711,1.225987018,2.712539256,beavercrk_20160619.csv
2016-07-07T00:00:00Z,23.03548584,12.8965797,2.453911509,5.958235926,12.23083989,beavercrk_20160619.csv
2016-07-08T00:00:00Z,20.5770813,26.51178176,1.782020155,4.339634643,8.354192123,beavercrk_20160619.csv
2016-07-09T00:00:00Z,21.74138794,18.7811194,2.115219858,4.51948698,9.186446444,beavercrk_20160619.csv
2016-07-10T00:00:00Z,24.61715088,15.29175899,2.62419084,4.059936647,7.68086756,beavercrk_20160619.csv
2016-07-11T00:00:00Z,24.58748779,17.69931748,2.545049971,5.471812916,10.69329384,beavercrk_20160619.csv
2016-07-12T00:00:00Z,16.91665039,14.26966264,1.654060015,5.555593318,10.57529894,beavercrk_20160619.csv
2016-07-13T00:00:00Z,21.76235352,13.42279567,2.257659102,5.245118698,10.35662358,beavercrk_20160619.csv
2016-07-14T00:00:00Z,22.15517578,15.8683405,2.247024833,5.150899584,10.28837889,beavercrk_20160619.csv
2016-07-15T00:00:00Z,22.11168823,16.06245854,2.235917017,5.346406914,10.15606072,beavercrk_20160619.csv
2016-07-16T00:00:00Z,20.77401123,21.49267153,1.92698269,1.529947899,2.02386938,beavercrk_20160619.csv
2016-07-17T00:00:00Z,23.70708618,15.27662852,2.485429449,5.600812212,12.72569594,beavercrk_20160619.csv
2016-07-18T00:00:00Z,23.54815063,15.3517891,2.459602226,4.342414452,8.389029011,beavercrk_20160619.csv
2016-07-19T00:00:00Z,20.6645752,36.74978029,1.541886575,1.614135458,3.620043731,beavercrk_20160619.csv
2016-07-20T00:00:00Z,24.05715332,34.08642567,1.9742415,3.410579949,6.325553596,beavercrk_20160619.csv
2016-07-21T00:00:00Z,21.33687744,35.49801594,1.638611191,2.299557117,4.004051493,beavercrk_20160619.csv
2016-07-22T00:00:00Z,22.93511353,25.54805341,2.08464365,2.458655244,4.829212945,beavercrk_20160619.csv
2016-07-23T00:00:00Z,23.88143311,29.32775859,2.094742571,1.722364086,5.992869642,beavercrk_20160619.csv
