STID,DATE,FUEL_TYPE,FUEL_VARIATION,PERCENT,NAME,GACC,GROUP,LAT,LON,ELE
241,4/30/2015,1000-Hour,None,17,CNF Shake Trail,SWCC,USFS - Coronado NF,32.626111111111115,-109.8358333,8686
241,5/23/2017,1000-Hour,None,11,CNF Shake Trail,SWCC,USFS - Coronado NF,32.626111111111115,-109.8358333,8686
